| Epoch: 184/999999 (1/1) | Loss: 9.0609 | 2.2 steps/s | Step: 0k | 
| Epoch: 185/999999 (1/1) | Loss: 9.5467 | 2.2 steps/s | Step: 0k | 
| Epoch: 186/999999 (1/1) | Loss: 9.6399 | 2.3 steps/s | Step: 0k | 
| Epoch: 187/999999 (1/1) | Loss: 9.2253 | 2.1 steps/s | Step: 0k | 
| Epoch: 188/999999 (1/1) | Loss: 9.6095 | 2.0 steps/s | Step: 0k | 
| Epoch: 189/999999 (1/1) | Loss: 9.4815 | 1.6 steps/s | Step: 0k | 
| Epoch: 190/999999 (1/1) | Loss: 9.3274 | 2.0 steps/s | Step: 0k | 
| Epoch: 191/999999 (1/1) | Loss: 9.1100 | 2.0 steps/s | Step: 0k | 
| Epoch: 192/999999 (1/1) | Loss: 9.2609 | 1.9 steps/s | Step: 0k | 
| Epoch: 193/999999 (1/1) | Loss: 9.3377 | 2.4 steps/s | Step: 0k | 
| Epoch: 194/999999 (1/1) | Loss: 9.2035 | 2.2 steps/s | Step: 0k | 
| Epoch: 195/999999 (1/1) | Loss: 9.1646 | 2.4 steps/s | Step: 0k | 
| Epoch: 196/999999 (1/1) | Loss: 9.0243 | 2.0 steps/s | Step: 0k | 
| Epoch: 197/999999 (1/1) | Loss: 8.9615 | 2.1 steps/s | Step: 0k | 
| Epoch: 198/999999 (1/1) | Loss: 9.1659 | 2.0 steps/s | Step: 0k | 
| Epoch: 199/999999 (1/1) | Loss: 9.0298 | 2.2 steps/s | Step: 0k | 
| Epoch: 200/999999 (1/1) | Loss: 9.0333 | 2.6 steps/s | Step: 0k | 
| Epoch: 201/999999 (1/1) | Loss: 8.9843 | 2.6 steps/s | Step: 0k | 
| Epoch: 202/999999 (1/1) | Loss: 8.8696 | 2.4 steps/s | Step: 0k | 
| Epoch: 203/999999 (1/1) | Loss: 8.8805 | 2.3 steps/s | Step: 0k | 
| Epoch: 204/999999 (1/1) | Loss: 8.7856 | 2.6 steps/s | Step: 0k | 
| Epoch: 205/999999 (1/1) | Loss: 8.6910 | 2.6 steps/s | Step: 0k | 
| Epoch: 206/999999 (1/1) | Loss: 8.9724 | 2.2 steps/s | Step: 0k | 
| Epoch: 207/999999 (1/1) | Loss: 8.9587 | 2.4 steps/s | Step: 0k | 
| Epoch: 208/999999 (1/1) | Loss: 8.7526 | 2.0 steps/s | Step: 0k | 
| Epoch: 209/999999 (1/1) | Loss: 8.7901 | 2.6 steps/s | Step: 0k | 
| Epoch: 210/999999 (1/1) | Loss: 8.6422 | 2.2 steps/s | Step: 0k | 
| Epoch: 211/999999 (1/1) | Loss: 9.0281 | 2.2 steps/s | Step: 0k | 
| Epoch: 212/999999 (1/1) | Loss: 8.7591 | 1.9 steps/s | Step: 0k | 
| Epoch: 213/999999 (1/1) | Loss: 9.1779 | 1.9 steps/s | Step: 0k | 
| Epoch: 214/999999 (1/1) | Loss: 9.2941 | 2.2 steps/s | Step: 0k | 
| Epoch: 215/999999 (1/1) | Loss: 8.8205 | 2.0 steps/s | Step: 0k | 
| Epoch: 216/999999 (1/1) | Loss: 9.5964 | 2.0 steps/s | Step: 0k | 
| Epoch: 217/999999 (1/1) | Loss: 9.6945 | 2.5 steps/s | Step: 0k | 
| Epoch: 218/999999 (1/1) | Loss: 9.8359 | 2.0 steps/s | Step: 0k | 
| Epoch: 219/999999 (1/1) | Loss: 9.6913 | 2.2 steps/s | Step: 0k | 
| Epoch: 220/999999 (1/1) | Loss: 9.3060 | 2.4 steps/s | Step: 0k | 
| Epoch: 221/999999 (1/1) | Loss: 9.7116 | 2.7 steps/s | Step: 0k | 
| Epoch: 222/999999 (1/1) | Loss: 9.9611 | 1.8 steps/s | Step: 0k | 
| Epoch: 223/999999 (1/1) | Loss: 10.0220 | 2.1 steps/s | Step: 0k | 
| Epoch: 224/999999 (1/1) | Loss: 9.9056 | 2.4 steps/s | Step: 0k | 
| Epoch: 225/999999 (1/1) | Loss: 9.8192 | 2.3 steps/s | Step: 0k | 
| Epoch: 226/999999 (1/1) | Loss: 9.4858 | 2.3 steps/s | Step: 0k | 
| Epoch: 227/999999 (1/1) | Loss: 9.3151 | 2.1 steps/s | Step: 0k | 
| Epoch: 228/999999 (1/1) | Loss: 9.6583 | 2.3 steps/s | Step: 0k | 
| Epoch: 229/999999 (1/1) | Loss: 9.3665 | 2.0 steps/s | Step: 0k | 
| Epoch: 230/999999 (1/1) | Loss: 9.3369 | 2.0 steps/s | Step: 0k | 
| Epoch: 231/999999 (1/1) | Loss: 9.7594 | 2.3 steps/s | Step: 0k | 
| Epoch: 232/999999 (1/1) | Loss: 9.2019 | 2.2 steps/s | Step: 0k | 
| Epoch: 233/999999 (1/1) | Loss: 9.9806 | 2.3 steps/s | Step: 0k | 
| Epoch: 234/999999 (1/1) | Loss: 10.4513 | 1.9 steps/s | Step: 0k | 
| Epoch: 235/999999 (1/1) | Loss: 10.0088 | 2.3 steps/s | Step: 0k | 
| Epoch: 236/999999 (1/1) | Loss: 10.0402 | 2.5 steps/s | Step: 0k | 
| Epoch: 237/999999 (1/1) | Loss: 10.1490 | 2.2 steps/s | Step: 0k | 
| Epoch: 238/999999 (1/1) | Loss: 9.6116 | 2.3 steps/s | Step: 0k | 
| Epoch: 239/999999 (1/1) | Loss: 9.2607 | 2.4 steps/s | Step: 0k | 
| Epoch: 240/999999 (1/1) | Loss: 9.7654 | 2.1 steps/s | Step: 0k | 
| Epoch: 241/999999 (1/1) | Loss: 10.2294 | 2.1 steps/s | Step: 0k | 
| Epoch: 242/999999 (1/1) | Loss: 9.8938 | 2.3 steps/s | Step: 0k | 
| Epoch: 243/999999 (1/1) | Loss: 9.2753 | 2.5 steps/s | Step: 0k | 
| Epoch: 244/999999 (1/1) | Loss: 9.5632 | 2.0 steps/s | Step: 0k | 
| Epoch: 245/999999 (1/1) | Loss: 9.8130 | 1.9 steps/s | Step: 0k | 
| Epoch: 246/999999 (1/1) | Loss: 9.6016 | 2.2 steps/s | Step: 0k | 
| Epoch: 247/999999 (1/1) | Loss: 9.2631 | 2.2 steps/s | Step: 0k | 
